"id","scale_denominator","mi","inom"
3403,250000,"0481","SF-21-Y-B"
3404,250000,"0482","SF-21-Z-A"
3405,250000,"0296","SC-20-Z-B"
3406,250000,"0315","SC-20-Z-C"
3407,250000,"0071","SA-19-X-C"
3408,250000,"0316","SC-20-Z-D"
3409,250000,"0246","SC-21-V-A"
3410,250000,"0019","NA-21-X-C"
3411,250000,"0247","SC-21-V-B"
3412,250000,"0272","SC-21-V-C"
3413,250000,"0273","SC-21-V-D"
3414,250000,"0248","SC-21-X-A"
3415,250000,"0249","SC-21-X-B"
3416,250000,"0274","SC-21-X-C"
3417,250000,"0275","SC-21-X-D"
3418,250000,"0072","SA-19-X-D"
3419,250000,"0297","SC-21-Y-A"
3420,250000,"0298","SC-21-Y-B"
3421,250000,"0317","SC-21-Y-C"
3422,250000,"0020","NA-21-X-D"
3423,250000,"0318","SC-21-Y-D"
3424,250000,"0299","SC-21-Z-A"
3425,250000,"0300","SC-21-Z-B"
3426,250000,"0319","SC-21-Z-C"
3427,250000,"0320","SC-21-Z-D"
3428,250000,"0250","SC-22-V-A"
3429,250000,"0088","SA-19-Y-B"
3430,250000,"0301","SC-22-Y-A"
3431,250000,"0302","SC-22-Y-B"
3432,250000,"0321","SC-22-Y-C"
3433,250000,"0322","SC-22-Y-D"
3434,250000,"0031","NA-21-Y-A"
3435,250000,"0303","SC-22-Z-A"
3436,250000,"0304","SC-22-Z-B"
3437,250000,"0323","SC-22-Z-C"
3438,250000,"0324","SC-22-Z-D"
3439,250000,"0254","SC-23-V-A"
3440,250000,"0109","SA-19-Y-D"
3441,250000,"0255","SC-23-V-B"
3442,250000,"0280","SC-23-V-C"
3443,250000,"0281","SC-23-V-D"
3444,250000,"0256","SC-23-X-A"
3445,250000,"0257","SC-23-X-B"
3446,250000,"0005","NB-20-Z-D"
3447,250000,"0032","NA-21-Y-B"
3448,250000,"0341","SD-22-V-A"
3449,250000,"0342","SD-22-V-B"
3450,250000,"0180","SB-24-X-D"
3451,250000,"0089","SA-19-Z-A"
3452,250000,"0204","SB-24-Y-A"
3453,250000,"0205","SB-24-Y-B"
3454,250000,"0231","SB-24-Y-C"
3455,250000,"0232","SB-24-Y-D"
3456,250000,"0206","SB-24-Z-A"
3457,250000,"0207","SB-24-Z-B"
3458,250000,"0233","SB-24-Z-C"
3459,250000,"0045","NA-21-Y-C"
3460,250000,"0234","SB-24-Z-D"
3461,250000,"0181","SB-25-V-C"
3462,250000,"0162","SB-20-V-D"
3463,250000,"0208","SB-25-Y-A"
3464,250000,"0235","SB-25-Y-C"
3465,250000,"0236","SC-18-X-A"
3466,250000,"0237","SC-18-X-B"
3467,250000,"0263","SC-18-X-D"
3468,250000,"0238","SC-19-V-A"
3469,250000,"0239","SC-19-V-B"
3470,250000,"0264","SC-19-V-C"
3471,250000,"0046","NA-21-Y-D"
3472,250000,"0265","SC-19-V-D"
3473,250000,"0090","SA-19-Z-B"
3474,250000,"0240","SC-19-X-A"
3475,250000,"0241","SC-19-X-B"
3476,250000,"0266","SC-19-X-C"
3477,250000,"0267","SC-19-X-D"
3478,250000,"0289","SC-19-Y-A"
3479,250000,"0466","SF-23-X-B"
3480,250000,"0478","SF-23-X-C"
3481,250000,"0479","SF-23-X-D"
3482,250000,"0488","SF-23-Y-A"
3483,250000,"0033","NA-21-Z-A"
3484,250000,"0110","SA-19-Z-C"
3485,250000,"0489","SF-23-Y-B"
3486,250000,"0499","SF-23-Y-C"
3487,250000,"0500","SF-23-Y-D"
3488,250000,"0490","SF-23-Z-A"
3489,250000,"0483","SF-21-Z-B"
3490,250000,"0493","SF-21-Z-C"
3491,250000,"0494","SF-21-Z-D"
3492,250000,"0459","SF-22-V-A"
3493,250000,"0460","SF-22-V-B"
3494,250000,"0472","SF-22-V-C"
3495,250000,"0111","SA-19-Z-D"
3496,250000,"0034","NA-21-Z-B"
3497,250000,"0473","SF-22-V-D"
3498,250000,"0461","SF-22-X-A"
3499,250000,"0462","SF-22-X-B"
3500,250000,"0474","SF-22-X-C"
3501,250000,"0475","SF-22-X-D"
3502,250000,"0484","SF-22-Y-A"
3503,250000,"0485","SF-22-Y-B"
3504,250000,"0495","SF-22-Y-C"
3505,250000,"0496","SF-22-Y-D"
3506,250000,"0076","SA-20-X-D"
3507,250000,"0056","SA-20-V-A"
3508,250000,"0486","SF-22-Z-A"
3509,250000,"0047","NA-21-Z-C"
3510,250000,"0487","SF-22-Z-B"
3511,250000,"0497","SF-22-Z-C"
3512,250000,"0498","SF-22-Z-D"
3513,250000,"0463","SF-23-V-A"
3514,250000,"0464","SF-23-V-B"
3515,250000,"0476","SF-23-V-C"
3516,250000,"0477","SF-23-V-D"
3517,250000,"0465","SF-23-X-A"
3518,250000,"0057","SA-20-V-B"
3519,250000,"0048","NA-21-Z-D"
3520,250000,"0108","SA-24-Y-B"
3521,250000,"0128","SA-24-Y-C"
3522,250000,"0129","SA-24-Y-D"
3523,250000,"0001-A","NB-21-Y-A"
3524,250000,"0130","SA-24-Z-C"
3525,250000,"0131","SB-18-X-B"
3526,250000,"0156","SB-18-X-D"
3527,250000,"0182","SB-18-Z-A"
3528,250000,"0183","SB-18-Z-B"
3529,250000,"0188","SB-20-Y-A"
3530,250000,"0209","SB-18-Z-C"
3531,250000,"0210","SB-18-Z-D"
3532,250000,"0132","SB-19-V-A"
3533,250000,"0133","SB-19-V-B"
3534,250000,"0157","SB-19-V-C"
3535,250000,"0186","SB-19-Z-A"
3536,250000,"0158","SB-19-V-D"
3537,250000,"0134","SB-19-X-A"
3538,250000,"0135","SB-19-X-B"
3539,250000,"0159","SB-19-X-C"
3540,250000,"0189","SB-20-Y-B"
3541,250000,"0160","SB-19-X-D"
3542,250000,"0184","SB-19-Y-A"
3543,250000,"0185","SB-19-Y-B"
3544,250000,"0211","SB-19-Y-C"
3545,250000,"0212","SB-19-Y-D"
3546,250000,"0331","SC-24-Z-C"
3547,250000,"0187","SB-19-Z-B"
3548,250000,"0332","SC-24-Z-D"
3549,250000,"0262","SC-25-V-A"
3550,250000,"0288","SC-25-V-C"
3551,250000,"0215","SB-20-Y-C"
3552,250000,"0333","SD-20-V-A"
3553,250000,"0334","SD-20-V-B"
3554,250000,"0335","SD-20-X-A"
3555,250000,"0336","SD-20-X-B"
3556,250000,"0352","SD-20-X-C"
3557,250000,"0353","SD-20-X-D"
3558,250000,"0369","SD-20-Z-B"
3559,250000,"0213","SB-19-Z-C"
3560,250000,"0385","SD-20-Z-D"
3561,250000,"0337","SD-21-V-A"
3562,250000,"0216","SB-20-Y-D"
3563,250000,"0338","SD-21-V-B"
3564,250000,"0354","SD-21-V-C"
3565,250000,"0355","SD-21-V-D"
3566,250000,"0339","SD-21-X-A"
3567,250000,"0340","SD-21-X-B"
3568,250000,"0073","SA-20-V-C"
3569,250000,"0074","SA-20-V-D"
3570,250000,"0058","SA-20-X-A"
3571,250000,"0190","SB-20-Z-A"
3572,250000,"0138","SB-20-X-A"
3573,250000,"0191","SB-20-Z-B"
3574,250000,"0217","SB-20-Z-C"
3575,250000,"0091","SA-20-Y-A"
3576,250000,"0218","SB-20-Z-D"
3577,250000,"0140","SB-21-V-A"
3578,250000,"0141","SB-21-V-B"
3579,250000,"0165","SB-21-V-C"
3580,250000,"0166","SB-21-V-D"
3581,250000,"0142","SB-21-X-A"
3582,250000,"0143","SB-21-X-B"
3583,250000,"0167","SB-21-X-C"
3584,250000,"0139","SB-20-X-B"
3585,250000,"0261","SC-24-X-B"
3586,250000,"0092","SA-20-Y-B"
3587,250000,"0286","SC-24-X-C"
3588,250000,"0287","SC-24-X-D"
3589,250000,"0309","SC-24-Y-A"
3590,250000,"0310","SC-24-Y-B"
3591,250000,"0329","SC-24-Y-C"
3592,250000,"0330","SC-24-Y-D"
3593,250000,"0311","SC-24-Z-A"
3594,250000,"0312","SC-24-Z-B"
3595,250000,"0083","SA-22-X-C"
3596,250000,"0163","SB-20-X-C"
3597,250000,"0112","SA-20-Y-C"
3598,250000,"0084","SA-22-X-D"
3599,250000,"0099","SA-22-Y-A"
3600,250000,"0100","SA-22-Y-B"
3601,250000,"0120","SA-22-Y-C"
3602,250000,"0121","SA-22-Y-D"
3603,250000,"0101","SA-22-Z-A"
3604,250000,"0102","SA-22-Z-B"
3605,250000,"0122","SA-22-Z-C"
3606,250000,"0123","SA-22-Z-D"
3607,250000,"0068","SA-23-V-A"
3608,250000,"0113","SA-20-Y-D"
3609,250000,"0164","SB-20-X-D"
3610,250000,"0069","SA-23-V-B"
3611,250000,"0085","SA-23-V-C"
3612,250000,"0086","SA-23-V-D"
3613,250000,"0087","SA-23-X-C"
3614,250000,"0103","SA-23-Y-A"
3615,250000,"0104","SA-23-Y-B"
3616,250000,"0124","SA-23-Y-C"
3617,250000,"0409","SE-22-X-B"
3618,250000,"0422","SE-22-X-C"
