"id","label","iso_xml_path","field_type","is_static","possible_values","default_value","comments","old_path"
53,"Endereço eletrônico da organização","MD_Identification-resourceSpecificUsage-userContactInfo-onlineResource-linkage","string","FALSE",,,"Acho que esse campo está errado","/gmd:MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:resourceSpecificUsage[1]/gmd:MD_Usage/gmd:userContactInfo/gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:onlineResource/gmd:CI_OnlineResource/gmd:linkage/gmd:URL"
54,"Palavra-chave","MD_Keywords-keyword","string","FALSE",,,"Campo repetitivo. Várias ocorrências.","/gmd:MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:descriptiveKeywords[1]/gmd:MD_Keywords/gmd:keyword/gco:CharacterString"
55,"Tipo palavra-chave","MD_Keywords-type","string","FALSE",,,"Campo repetitivo. Várias ocorrências.","/gmd:MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:descriptiveKeywords[1]/gmd:MD_Keywords/gmd:type/gco:CharacterString"
56,"Sistema de referência planimétrico","MD_ReferenceSystem-referenceSystemIdentifier-code","int","FALSE",,4674,"Gerar na api de upload. EPSG","/gmd:MD_Metadata/gmd:referenceSystemInfo/gmd:MD_ReferenceSystem/gmd:referenceSystemIdentifier/gmd:RS_Identifier/gmd:code/gco:CharacterString"
57,"Versão do código","MD_ReferenceSystem-referenceSystemIdentifier-version","string","TRUE",,7.4,,"/gmd:MD_Metadata/gmd:referenceSystemInfo/gmd:MD_ReferenceSystem/gmd:referenceSystemIdentifier/gmd:RS_Identifier/gmd:version/gco:CharacterString"
58,"Autoridade","MD_ReferenceSystem-referenceSystemIdentifier-authority","string","TRUE",,"European Petroleum Survey Group (EPSG)",,"/gmd:MD_Metadata/gmd:referenceSystemInfo/gmd:MD_ReferenceSystem/gmd:referenceSystemIdentifier/gmd:RS_Identifier/gmd:authority/gmd:CI_Citation/gmd:title/gco:CharacterString"
59,"Descrição","Meramente visual","string","TRUE",,,"Meramente visual","Meramente visual"
60,"Datum","Meramente visual","string","TRUE",,,"Meramente visual","Meramente visual"
61,"Datum vertical","MD_DataIdentification-extent-verticalExtent-verticalDatum","string","FALSE",,,"Buscar na api do cadastro geral","/gmd:MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:extent[1]/gmd:EX_Extent/gmd:verticalExtent/gmd:EX_VerticalExtent/gmd:verticalDatum"
62,"Frequência de atualização","MD_DataIdentification-resourceMaintenance-maintenanceAndUpdateFrequency","string","TRUE",,"irregular",,"/gmd:MD_Metadata/gmd:identificationInfo/gmd:MD_DataIdentification/gmd:resourceMaintenance/gmd:MD_MaintenanceInformation/gmd:maintenanceAndUpdateFrequency"
63,"Formato do arquivo","MD_Distribution-distributionFormat-name","string","TRUE",,,"Gerar na api de upload","/gmd:MD_Metadata/gmd:distributionInfo/gmd:MD_Distribution/gmd:distributionFormat/gmd:MD_Format/gmd:name/gco:CharacterString"
64,"Versão","MD_Distribution-distributionFormat-version","string","TRUE",,,"Gerar na api de upload","/gmd:MD_Metadata/gmd:distributionInfo/gmd:MD_Distribution/gmd:distributionFormat/gmd:MD_Format/gmd:version/gco:CharacterString"
65,"Tamanho para distribuição","MD_DigitalTransferOptions-transferSize","string","TRUE",,,"Gerar na api de upload","/gmd:MD_Metadata/gmd:distributionInfo/gmd:MD_Distribution/gmd:transferOptions/gmd:MD_DigitalTransferOptions/gmd:transferSize/gco:Integer"
66,"Nome da mídia","MD_DigitalTransferOptions-offLine-name","string","TRUE",,"dvd",,"/gmd:MD_Metadata/gmd:distributionInfo/gmd:MD_Distribution/gmd:transferOptions/gmd:MD_DigitalTransferOptions/gmd:offLine/gmd:MD_Medium/gmd:name/gco:CharacterString"
67,"Recurso online","MD_DigitalTransferOptions-onLine","string","TRUE",,"Preenchido após a publicação.","Endereço de publicação na internet.","/gmd:MD_Metadata/gmd:distributionInfo/gmd:MD_Distribution/gmd:transferOptions/gmd:MD_DigitalTransferOptions/gmd:onLine[1]/gmd:CI_OnlineResource/gmd:linkage/gmd:URL"
68,"Nome da organização distribuidora","MD_Distributor-distributorContact-organisationName","string","FALSE",,,,"/gmd:MD_Metadata/gmd:distributionInfo/gmd:MD_Distribution/gmd:distributor/gmd:MD_Distributor/gmd:distributorContact/gmd:CI_ResponsibleParty/gmd:organisationName/gco:CharacterString"
69,"Endereço da organização distribuidora","MD_Distributor-distributorContact-contactInfo-address-deliveryPoint","string","TRUE",,,"Buscar na api do cadastro geral. Responsável pela distribuilção do produto (OM responsável).","/gmd:MD_Metadata/gmd:distributionInfo/gmd:MD_Distribution/gmd:distributor/gmd:MD_Distributor/gmd:distributorContact/gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/gmd:CI_Address/gmd:deliveryPoint/gco:CharacterString"
70,"Telefone da organização distribuidora","MD_Distributor-distributorContact-contactInfo-phone-voice","string","TRUE",,,"Buscar na api do cadastro geral. Responsável pela distribuilção do produto (OM responsável).","/gmd:MD_Metadata/gmd:distributionInfo/gmd:MD_Distribution/gmd:distributor/gmd:MD_Distributor/gmd:distributorContact/gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:phone/gmd:CI_Telephone/gmd:voice/gco:CharacterString"
71,"Função da organização distribuidora","MD_Distributor-distributorContact-role","string","TRUE",,,"Buscar na api do cadastro geral. Responsável pela distribuilção do produto (OM responsável).","/gmd:MD_Metadata/gmd:distributionInfo/gmd:MD_Distribution/gmd:distributor/gmd:MD_Distributor/gmd:distributorContact/gmd:CI_ResponsibleParty/gmd:role/gmd:CI_RoleCode"
72,"Custo","MD_StandardOrderProcess-fees","string","FALSE",,"gratúito",,"/gmd:MD_Metadata/gmd:distributionInfo/gmd:MD_Distribution/gmd:distributor/gmd:MD_Distributor/gmd:distributionOrderProcess/gmd:MD_StandardOrderProcess/gmd:fees/gco:CharacterString"
73,"Declaração","LI_Lineage-statement","string","FALSE",,,"Preencher quando os demais campos da linhagem estiverem vazios.","/gmd:MD_Metadata/gmd:dataQualityInfo/gmd:DQ_DataQuality/gmd:lineage/gmd:LI_Lineage/gmd:statement/gco:CharacterString"
